"Symbol";"Value";"Unit";
"Supplier_Name";"Farnell or Newark";"";
"Contact_Plating";"Gold Plated Contacts";"";
"Brand_Name";"AMP - TE CONNECTIVITY";"";
"TraceParts.PartVersion";"1.0.4";"";
"SUPPLIER";"FARNELL";"";
"Width";"3.7""";"";
"Pitch_Spacing";"2.54mm";"";
"TraceParts.PartNumber";"11-27042017-068229";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"DIN 41612 Connector, 96 Contacts, Plug, 2.54 mm, 3 Row, a + b + c";"";
"Rows_Loaded";"a + b + c";"";
"No__of_Contacts";"96Contacts";"";
"No__of_Rows";"3Rows";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"DIN 41612 Connector, 96 Contacts, Plug, 2.54 mm, 3 Row, a + b + c";"";
"TraceParts.InstanceId";"11-27042017-068229D1U8LICGO1AJU0JIB9GOCD42W";"";
"Contact_Termination_Type";"Through Hole";"";
"Contact_Termination";"Through Hole Right Angle";"";
"Product_Range";"Eurocard Type C Series";"";
"REFERENCE";"5650947-5";"";
"Contact_Material";"Copper";"";
"Gender";"Plug";"";
"Connector_Type";"DIN 41612";"";
"Termination_Post_Length";"0.13""";"";
